id,created_at,text
1618256480637161473,2023-01-25 14:36:25+00:00,RT @mymusetxt: moas! please engage to the original tweet ⤵️ it’ll be a great opportunity for txt to get broader exposure in indonesia! thei…
1618256466795991041,2023-01-25 14:36:22+00:00,"RT @SJ_Billboard: YESUNG Sensory Flows - The 1st Album iTunes #1 in 6 regions

#1 Hong Kong
#1 India
#1 Indonesia
#1 Mexico
#1 Saudi Arabia…"
1618256466565279744,2023-01-25 14:36:22+00:00,@vivo_indonesia WINNING PERFORMANCE #2023pakaivivo #vivoV25Series
1618256457820172293,2023-01-25 14:36:19+00:00,"RT @SJ_Billboard: YESUNG Sensory Flows - The 1st Album iTunes #1 in 9 regions
#1 Hong Kong
#1 India
#1 Indonesia
#1 Mexico
#1 Philippines
#…"
1618256456129859584,2023-01-25 14:36:19+00:00,"When I'm not reading SPYxFamily, I'm reading CHR-47!
 
#article5 #commissions #Indonesia

https://t.co/hqhYoikNdx https://t.co/9ZWh9uoK0j"
1618256451289624580,2023-01-25 14:36:18+00:00,"RT @BWFScore: DAIHATSU Indonesia Masters 2023
XD - R32
          🇫🇷Thom GICQUEL🏅
21 21 🇫🇷Delphine DELRUE🏅
          🇮🇳Ishaan BHATNAGAR
16 1…"
1618256424232185856,2023-01-25 14:36:11+00:00,"Happy Changkyun Day!🐺

✨Im Changkyun Birthday IG story AD✨

📌 : 25-27 Jan 2023
📍 : Indonesia, Singapore, Thailand,… https://t.co/HfTbdiRb9C"
1618256411074650113,2023-01-25 14:36:08+00:00,"RT @queeri_official: Nominee: #Ay_Yo

Like this Tweet to Vote for #NCT127 for EPIC COMEBACK JANUARY by #Queeri

🏆
 -Listening Party at 22 R…"
1618256395673145344,2023-01-25 14:36:05+00:00,"RT @bright_charts: My Ecstasy — On Itunes:

#1 Thailand
#2 Hong Kong
#2 Indonesia
#3 Singapore
#4 Malaysia
#4 Vietnam
#7 Philippines
#21 Ta…"
1618256346402664450,2023-01-25 14:35:53+00:00,"RT @NCT_INDONESIA62: 🇮🇩 230125 #NCTDREAM - The 32nd Seoul Music Awards Interview 💖

Trans by: NCT Indonesia 🍭☁️
@NCTsmtown_DREAM https://t.…"
